original_Institution_Name,original_Branch_Name,original_Address,lat,lon,suburb
City National Bank,City National Bank,555 S Flower St,34.05048,-118.25755,Downtown Los Angeles
Columbia Bank,FAIRFAX BRANCH,110 S Fairfax Ave,34.073612,-118.3609531,Fairfax
Cathay Bank,Cathay Bank,777 N Broadway,34.0618561,-118.2386571,Chinatown
SMBC MANUBANK,SMBC MANUBANK,"515 South Figueroa Street, Ground Floor",34.05209345,-118.2580793,Downtown
BMO Bank National Association,L.A. BUNKER HILL BRANCH,300 S Grand Ave,34.052874,-118.251217,Downtown
CTBC Bank Corp. (USA),CTBC Bank Corp. (USA),801 S Figueroa St,34.047907,-118.26135,Downtown
Beneficial State Bank,EAST LOS ANGELES BRANCH,3626 E 1st St,34.03592927,-118.1883428,East Los Angeles
BMO Bank National Association,L.A. MAIN BRANCH,915 Wilshire Blvd,34.05029057,-118.259435,Downtown
GBC International Bank,GBC International Bank,333 S Grand Ave,34.05225064,-118.2518022,Downtown
Comerica Bank,WESTWOOD BRANCH,1021 Glendon Ave,34.06212798,-118.4442223,Westwood
"The Bank of New York Mellon Trust Company, National Association","The Bank of New York Mellon Trust Company, National Association",333 S Hope St,34.05361745,-118.2532727,Downtown
U.S. Bank National Association,HOLLYWOOD  - 6922 HOLLYWOOD BRANCH,6922 Hollywood Blvd,34.1013281,-118.3409761,Hollywood
State Bank of India (California),State Bank of India (California),707 Wilshire Blvd,34.0492822,-118.256963,Downtown
Banc of California,Banc of California,11611 San Vicente Blvd,34.05361273,-118.4622459,Brentwood
Hanmi Bank,Hanmi Bank,3660 Wilshire Blvd Ste Ph-A,34.0614071,-118.304844,Koreatown
First Credit Bank,First Credit Bank,9255 W Sunset Blvd,34.0901713,-118.39393,Sunset Strip
Banc of California,OLYMPIC-LOS ANGELES BRANCH,11150 W Olympic Blvd,34.0391455,-118.4388843,Sawtelle
"Wells Fargo Bank, National Association",EAST LOS ANGELES BRANCH,5458 Whittier Blvd,34.0195785,-118.152993,
"Wells Fargo Bank, National Association",WHITTIER & INDIANA BRANCH,3800 Whittier Blvd,34.023856,-118.192174,East Los Angeles
"Wells Fargo Bank, National Association",FLORENCE & CENTRAL BRANCH,1144 E Florence Ave,33.974694,-118.2544357,Florence-Graham
"Wells Fargo Bank, National Association",ADAMS & BROADWAY BRANCH,141 W Adams Blvd,34.025466,-118.269835,Historic South-Central
"Wells Fargo Bank, National Association",FIRST INTERSTATE TOWER BRANCH,707 Wilshire Blvd,34.0492822,-118.256963,Downtown
"Wells Fargo Bank, National Association",WILSHIRE-LUCAS BRANCH,1200 Wilshire Blvd,34.05298,-118.265029,Westlake
"Wells Fargo Bank, National Association",BRENTWOOD BRANCH,11836 San Vicente Blvd,34.05274724,-118.4687882,Brentwood
"Wells Fargo Bank, National Association",OLYMPIC & PURDUE,11835 W Olympic Blvd,34.03314058,-118.4502562,Sawtelle
U.S. Bank National Association,CALIFORNIA MART,110 E 9th St,34.0405662,-118.2552219,Downtown
"Wells Fargo Bank, National Association",RANCHO PARK BRANCH,10789 W Pico Blvd,34.04084,-118.42738,West L.A.
"Bank of America, National Association",29TH AND CRENSHAW BRANCH,2907 Crenshaw Blvd,34.02923947,-118.335199,
"Bank of America, National Association",BROADWAY-MANCHESTER BRANCH,8564 S Broadway,33.960692,-118.278183,Vermont Knolls
"Bank of America, National Association",CENTINELA AND LA TIJERA BRANCH,6611 La Cienega Westway St,33.979623,-118.371111,Westchester
"Bank of America, National Association",FIGUEROA AND ADAMS BRANCH,2703 S Figueroa St,34.02700438,-118.2768473,Historic South-Central
"Bank of America, National Association",MELROSE-FAIRFAX BRANCH,7900 Melrose Ave,34.083727,-118.361564,Fairfax
"Bank of America, National Association",RANCHO PARK BRANCH,10731 W Pico Blvd,34.041497,-118.425782,West Los Angeles
"Bank of America, National Association",LINCOLN MANCHESTER BRANCH,7215 W Manchester Ave,33.959926,-118.419542,
U.S. Bank National Association,WESTWOOD BRANCH,10900 Wilshire Blvd,34.05833715,-118.4440653,Westwood
U.S. Bank National Association,BRENTWOOD SQUARE BRANCH,11661 San Vicente Blvd,34.05367574,-118.4640521,Brentwood
"Zions Bancorporation, N.A.",WILSHIRE-SAN VICENTE BRANCH,6500 Wilshire Blvd,34.06384667,-118.3698533,
"Bank of America, National Association",WASHINGTON-CENTINELA BRANCH,12316 W Washington Blvd,33.9967733,-118.4274842,
"Bank of America, National Association",SILVER LAKE-GLENDALE BRANCH,2420 Glendale Blvd,34.10056873,-118.2591201,
"Bank of America, National Association",INTERNATIONAL JEWELRY CENTER BRANCH,550 S Hill St,34.0474814,-118.25258,Downtown
"Bank of America, National Association",HIGHLAND PARK BRANCH,5515 N Figueroa St,34.10840229,-118.1954037,Highland Park
"Bank of America, National Association",CRENSHAW CENTER BRANCH,3945 Crenshaw Blvd,34.01144622,-118.335195,Leimert Park
"Bank of America, National Association",ATLANTIC-WHITTIER BOULEVARD BRANCH,941 S Atlantic Blvd,34.01995512,-118.1575802,East Los Angeles
"Bank of America, National Association",BOYLE HEIGHTS BRANCH,2305 E Cesar E Chavez Ave,34.04725516,-118.2085921,Boyle Heights
"Bank of America, National Association",EAGLE ROCK BRANCH,2263 Colorado Blvd,34.13944925,-118.2155095,Eagle Rock
"Bank of America, National Association",LINCOLN HEIGHTS BRANCH,2400 N Broadway,34.07355007,-118.2162698,Lincoln Heights
"Bank of America, National Association",LA BREA-ROSEWOOD BRANCH,466 N La Brea Ave,34.08000235,-118.3437826,Fairfax
"Bank of America, National Association",PICO-VERMONT BRANCH,1232 S Vermont Ave,34.04845953,-118.2915014,Pico-Union
"Bank of America, National Association",PICO-LA CIENEGA BRANCH,8501 W Pico Blvd,34.053559,-118.376443,South Robertson
"Bank of America, National Association",LOS ANGELES INDUSTRIAL BRANCH,6400 Avalon Blvd,33.981419,-118.265075,Florence
"Bank of America, National Association",SLAUSON-VERMONT BRANCH,5700 S Vermont Ave,33.990366,-118.291383,Vermont Square
"Bank of America, National Association",SUNSET-ECHO PARK BRANCH,1572 W Sunset Blvd,34.07647706,-118.2569046,Echo Park
"Bank of America, National Association",VERMONT-HOLLYWOOD BRANCH,1715 N Vermont Ave,34.10225838,-118.2918711,Los Feliz Neighborhood Council District
"Bank of America, National Association",UNIVERSITY VILLAGE BRANCH,3201 S Hoover St,34.0242828,-118.2841064,University Park
"Bank of America, National Association",LARCHMONT VILLAGE BRANCH,100 N Larchmont Blvd,34.073147,-118.323431,Windsor Square
"Bank of America, National Association",WESTCHESTER BRANCH,8946 S Sepulveda Blvd,33.95501113,-118.3963771,Westchester
"Bank of America, National Association",WESTERN-OLYMPIC BRANCH,3320 W Olympic Blvd,34.05255229,-118.3097539,Koreatown
"Bank of America, National Association",MARTIN LUTHER KING JR. BRANCH,4103 S Western Ave,34.009764,-118.309012,Vermont Square
